title;abstract;journal;area;field
ICE THICKNESS ESTIMATES OF LEMON CREEK GLACIER, ALASKA, FROM ACTIVE-SOURCE SEISMIC IMAGING;LEMON CREEK GLACIER, A TEMPERATE VALLEY GLACIER IN THE JUNEAU ICEFIELD OF SOUTHEAST ALASKA, IS THE SITE OF LONG RUNNING (>60 YEARS) GLACIOLOGICAL STUDIES. HOWEVER, THE MOST RECENT PUBLISHED ESTIMATES OF ITS THICKNESS AND SUBGLACIAL TOPOGRAPHY COME FROM TWO SIMILAR TO 50 YEARS OLD;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
GLACIER CLEAR ICE BANDS INDICATE ENGLACIAL CHANNEL MICROBIAL DISTRIBUTION;DISTANT GLACIAL AREAS ARE INTERCONNECTED BY A COMPLEX SYSTEM OF FRACTURES AND WATER CHANNELS WHICH RUN IN THE GLACIER INTERIOR AND CHARACTERIZE THE ENGLACIAL REALM. WATER CAN SLOWLY FREEZE IN THESE CHANNELS WHERE THE SLOW FREEZING EXCLUDES AIR BUBBLES GIVING THE ICE A CLEAR ASPEC;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
CYCLIC STRENGTHENING OF LAKE ICE;FURTHER TO SYSTEMATIC EXPERIMENTS ON THE FLEXURAL STRENGTH OF LABORATORY-GROWN, FRESH WATER ICE LOADED CYCLICALLY, THIS PAPER DESCRIBES RESULTS FROM NEW EXPERIMENTS OF THE SAME KIND ON LAKE ICE HARVESTED IN SVALBARD. THE EXPERIMENTS WERE CONDUCTED AT -12 DEGREES C, 0.1 HZ FREQUEN;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
DIURNAL LAKE-LEVEL CYCLES ON ICE SHELVES DRIVEN BY MELTWATER INPUT AND OCEAN TIDAL TILT;DIURNAL DEPTH CYCLES OF DECIMETER SCALE ARE OBSERVED IN A SUPRAGLACIAL LAKE ON THE MCMURDO ICE SHELF, ANTARCTICA. WE EVALUATE TWO POSSIBLE CAUSES: (1) TIDAL TILT OF THE ICE SHELF IN RESPONSE TO THE UNDERLYING OCEAN TIDE, AND (2) MELTWATER INPUT VARIATION. WE FIND THE LATTER TO BE;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
FRAGMENTATION THEORY REVEALS PROCESSES CONTROLLING ICEBERG SIZE DISTRIBUTIONS;ICEBERG CALVING STRONGLY CONTROLS GLACIER MASS LOSS, BUT THE FRACTURE PROCESSES LEADING TO ICEBERG FORMATION ARE POORLY UNDERSTOOD DUE TO THE STOCHASTIC NATURE OF CALVING. THE SIZE DISTRIBUTIONS OF ICEBERGS PRODUCED DURING THE CALVING PROCESS CAN YIELD INFORMATION ON THE PROCESSE;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
UPDATED INVENTORY OF GLACIER ICE IN NEW ZEALAND BASED ON 2016 SATELLITE IMAGERY;THE ONLY COMPLETE INVENTORY OF NEW ZEALAND GLACIERS WAS BASED ON AERIAL PHOTOGRAPHY STARTING IN 1978. WHILE THERE HAVE BEEN PARTIAL UPDATES USING 2002 AND 2009 SATELLITE DATA, MOST GLACIERS ARE STILL REPRESENTED BY THE 1978 OUTLINES IN CONTEMPORARY GLOBAL GLACIER DATABASES. THE O;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
TREATMENT OF ICE-SHELF EVOLUTION COMBINING FLOW AND FLEXURE;WE DEVELOP A TWO-DIMENSIONAL, PLAN-VIEW FORMULATION OF ICE-SHELF FLOW AND VISCOELASTIC ICE-SHELF FLEXURE. THIS FORMULATION COMBINES, FOR THE FIRST TIME, THE SHALLOW-SHELF APPROXIMATION FOR HORIZONTAL ICE-SHELF FLOW (AND SHALLOW-STREAM APPROXIMATION FOR FLOW ON LUBRICATED BEDS SUC;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
CONSTRAINING SUBGLACIAL PROCESSES FROM SURFACE VELOCITY OBSERVATIONS USING SURROGATE-BASED BAYESIAN INFERENCE;BASAL MOTION IS THE PRIMARY MECHANISM FOR ICE FLUX IN GREENLAND, YET A WIDELY APPLICABLE MODEL FOR PREDICTING IT REMAINS ELUSIVE. THIS IS DUE TO THE DIFFICULTY IN BOTH OBSERVING SMALL-SCALE BED PROPERTIES AND PREDICTING A TIME-VARYING WATER PRESSURE ON WHICH BASAL MOTION PUTATIVE;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
EFFECT OF AN ORIENTATION-DEPENDENT NON-LINEAR GRAIN FLUIDITY ON BULK DIRECTIONAL ENHANCEMENT FACTORS;BULK DIRECTIONAL ENHANCEMENT FACTORS ARE DETERMINED FOR AXISYMMETRIC (GIRDLE AND SINGLE-MAXIMUM) ORIENTATION FABRICS USING A TRANSVERSELY ISOTROPIC GRAIN RHEOLOGY WITH AN ORIENTATION-DEPENDENT NON-LINEAR GRAIN FLUIDITY. COMPARED TO GRAIN FLUIDITIES THAT ARE SIMPLIFIED AS ORIENTAT;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
CHARACTERISTICS OF ICE RISES AND ICE RUMPLES IN DRONNING MAUD LAND AND ENDERBY LAND, ANTARCTICA;ICE RISES AND RUMPLES, LOCALLY GROUNDED FEATURES ADJACENT TO ICE SHELVES, ARE RELATIVELY SMALL YET PLAY SIGNIFICANT ROLES IN ANTARCTIC ICE DYNAMICS. THEIR ROLES GENERALLY DEPEND UPON THEIR LOCATION WITHIN THE ICE SHELF AND THE STAGE OF THE ICE-SHEET RETREAT OR ADVANCE. LARGE, LON;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
THE ROLE OF SUBGLACIAL HYDROLOGY IN ICE STREAMS WITH ELEVATED GEOTHERMAL HEAT FLUX;THE SPATIAL DISTRIBUTION OF GEOTHERMAL HEAT FLUX (GHF) UNDER ICE SHEETS IS LARGELY UNKNOWN. NONETHELESS, IT IS AN IMPORTANT BOUNDARY CONDITION IN ICE-SHEET MODELS, AND SUGGESTED TO CONTROL PART OF THE COMPLEX SURFACE VELOCITY PATTERNS OBSERVED IN SOME REGIONS. HERE WE INVESTIGATE;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
SEARCH AND RECOVERY OF AIRCRAFT PARTS IN ICE-SHEET CREVASSE FIELDS USING AIRBORNE AND IN SITU GEOPHYSICAL SENSORS;ON 30 SEPTEMBER 2017, AN AIR FRANCE AIRBUS A380-800 SUFFERED A FAILURE OF ITS FOURTH ENGINE WHILE OVER GREENLAND. THIS FAILURE RESULTED IN THE LOSS OF THE ENGINE FAN HUB, FAN BLADES AND SURROUNDING STRUCTURE. AN INITIAL SEARCH RECOVERED 30 PIECES OF LIGHT DEBRIS, BUT THE PRIMARY ;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
TWENTY-FIRST CENTURY RESPONSE OF PETERMANN GLACIER, NORTHWEST GREENLAND TO ICE SHELF LOSS;ICE SHELVES RESTRAIN FLOW FROM THE GREENLAND AND ANTARCTIC ICE SHEETS. CLIMATE-OCEAN WARMING COULD FORCE THINNING OR COLLAPSE OF FLOATING ICE SHELVES AND SUBSEQUENTLY ACCELERATE FLOW, INCREASE ICE DISCHARGE AND RAISE GLOBAL MEAN SEA LEVELS. PETERMANN GLACIER (PG), NORTHWEST GREEN;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
HISTORICAL SURFACE MASS BALANCE FROM A FREQUENCY-MODULATED CONTINUOUS-WAVE (FMCW) RADAR SURVEY FROM ZHONGSHAN STATION TO DOME A;USING FREQUENCY-MODULATED CONTINUOUS WAVE RADAR DATA FROM THE 32ND CHINESE ANTARCTIC RESEARCH EXPEDITION IN 2015/16, SUBSURFACE PROFILES WERE OBTAINED ALONG AN EAST ANTARCTIC INLAND TRAVERSE FROM ZHONGSHAN STATION TO DOME A, AND FOUR DISTINCT REGIONS WERE SELECTED TO ANALYZE THE ;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
STRENGTHENING OF COLUMNAR-GRAINED FRESHWATER ICE THROUGH CYCLIC FLEXURAL LOADING;SYSTEMATIC EXPERIMENTS REVEAL THAT THE FLEXURAL STRENGTH OF FRESHWATER S2 COLUMNAR-GRAINED ICE LOADED NORMAL TO THE COLUMNS INCREASES UPON CYCLIC LOADING. SPECIFICALLY, OVER THE RANGE OF STRESS AMPLITUDES 0.1-2.6 MPA THE FLEXURAL STRENGTH INCREASES LINEARLY WITH INCREASING STRESS;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
COMPLEX MULTI-DECADAL ICE DYNAMICAL CHANGE INLAND OF MARINE-TERMINATING GLACIERS ON THE GREENLAND ICE SHEET;GREENLAND'S FUTURE CONTRIBUTION TO SEA-LEVEL RISE IS STRONGLY DEPENDENT ON THE EXTENT TO WHICH DYNAMIC PERTURBATIONS, ORIGINATING AT THE MARGIN, CAN DRIVE INCREASED ICE FLOW WITHIN THE ICE-SHEET INTERIOR. HOWEVER, REPORTED OBSERVATIONS OF ICE DYNAMICAL CHANGE AT DISTANCES >SIMILA;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
DETECTING SUPRAGLACIAL DEBRIS THICKNESS WITH GPR UNDER SUBOPTIMAL CONDITIONS;THE THICKNESS OF A SUPRAGLACIAL LAYER IS CRITICAL TO THE MAGNITUDE AND TIME FRAME OF GLACIER MELT. FIELD-BASED, SHORT PULSE, GROUND-PENETRATING RADAR (GPR) HAS SUCCESSFULLY MEASURED DEBRIS THICKNESS DURING A GLACIER'S MELT SEASON, WHEN THERE IS A STRONG RETURN FROM THE ICE-DEBRIS;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
REANALYSING THE 2007-19 GLACIOLOGICAL MASS-BALANCE SERIES OF MERA GLACIER, NEPAL, CENTRAL HIMALAYA, USING GEODETIC MASS BALANCE;THE 2007-19 GLACIOLOGICAL MASS-BALANCE SERIES OF MERA GLACIER IN THE EVEREST REGION, EAST NEPAL, IS REANALYSED USING THE GEODETIC MASS BALANCE ASSESSED BY DIFFERENCING TWO DEMS OBTAINED FROM PLEIADES STEREO-IMAGES ACQUIRED IN NOVEMBER 2012 AND IN OCTOBER 2018. THE GLACIOLOGICAL G;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
VOLUME-AREA SCALING FOR DEBRIS-COVERED GLACIERS;A VOLUME-AREA SCALING RELATION IS COMMONLY USED TO ESTIMATE GLACIER VOLUME OR ITS FUTURE CHANGES ON A GLOBAL SCALE. THE PRESENCE OF AN INSULATING SUPRAGLACIAL DEBRIS COVER ALTERS THE MASS-BALANCE PROFILE OF A GLACIER, POTENTIALLY MODIFYING THE SCALING RELATION. HERE, THE NATURE O;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
INTERMITTENT STRUCTURAL WEAKENING AND ACCELERATION OF THE THWAITES GLACIER TONGUE BETWEEN 2000 AND 2018;EVOLVING CONDITIONS AT THE TERMINUS OF THWAITES GLACIER WILL BE IMPORTANT IN DETERMINING THE RATE OF ITS FUTURE SEA-LEVEL CONTRIBUTION OVER THE COMING DECADES. HERE, WE USE REMOTE-SENSING OBSERVATIONS TO INVESTIGATE RECENT CHANGES (2000-2018) IN THE STRUCTURE AND VELOCITY OF THWA;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
MAXIMIZING FRICTION IN THE EROSION OF GLACIAL VALLEYS;THE CROSS-SECTIONAL PROFILE OF A GLACIAL VALLEY CAN BE OBTAINED WITH A VARIATIONAL PRINCIPLE IN WHICH THE FRICTION AGAINST THE VALLEY WALLS AND THE GLACIER BED IS EXTREMIZED, SUBJECT TO A LAGRANGIAN CONSTRAINT. WE SHOW THAT THE ACTUAL VALLEY PROFILEMAXIMIZESTHE FRICTION, THUS SET;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
DRYGALSKI ICE TONGUE STABILITY INFLUENCED BY RIFT FORMATION AND ICE MORPHOLOGY;THE DRYGALSKI ICE TONGUE IN EAST ANTARCTICA STRETCHES 90 KM INTO THE ROSS SEA AND INFLUENCES THE LOCAL OCEAN CIRCULATION, AND PERSISTENCE OF THE TERRA NOVA BAY POLYNYA. WE EXAMINE THE CONTROLS ON THE SIZE OF THIS FLOATING ICE BODY BY COMPARING THE PROPAGATION OF SIX LARGE FRACTUR;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
ANGLE OF REPOSE EXPERIMENTS WITH SNOW: ROLE OF GRAIN SHAPE AND COHESION;SNOW APPEARS AS A GRANULAR MATERIAL IN MOST ENGINEERING APPLICATIONS. WE EXAMINED THE ROLE OF GRAIN SHAPE AND COHESION IN ANGLE OF REPOSE EXPERIMENTS, WHICH ARE A COMMON MEANS FOR THE CHARACTERIZATION OF GRANULAR MATERIALS. THE ROLE OF SHAPE WAS EXAMINED BY INVESTIGATING DIVERSE ;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
TENSILE STRENGTH OF GLACIAL ICE DEDUCED FROM OBSERVATIONS OF THE 2015 EASTERN SKAFTA CAULDRON COLLAPSE, VATNAJOKULL ICE CAP, ICELAND;THE REPRESENTATION OF ICEBERG CALVING IN NUMERICAL MODELS IS A KEY SOURCE OF UNCERTAINTY IN CENTURY-SCALE SEA-LEVEL RISE PROJECTIONS. PARAMETERS CENTRAL TO MODEL REPRESENTATIONS OF CALVING, INCLUDING THE TENSILE STRENGTH OF GLACIER ICE, REMAIN POORLY CONSTRAINED. GRAIN-SIZE AND S;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
ICE-MARGINAL LAKE HYDROLOGY AND THE SEASONAL DYNAMICAL EVOLUTION OF KENNICOTT GLACIER, ALASKA;GLACIER BASAL MOTION IS RESPONSIBLE FOR THE MAJORITY OF ICE FLUX ON FAST-FLOWING GLACIERS, ENABLES RAPID CHANGES IN GLACIER MOTION AND PROVIDES THE MEANS BY WHICH GLACIERS SHAPE ALPINE LANDSCAPES. IN AN EFFORT TO ENHANCE OUR UNDERSTANDING OF BASAL MOTION, WE INVESTIGATE THE EVOLU;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
A NON-LOCAL CONTINUUM PORO-DAMAGE MECHANICS MODEL FOR HYDROFRACTURING OF SURFACE CREVASSES IN GROUNDED GLACIERS;HYDROFRACTURING CAN ENHANCE THE DEPTH TO WHICH CREVASSES PROPAGATE AND, IN SOME CASES, ALLOW FULL DEPTH CREVASSE PENETRATION AND ICEBERG DETACHMENT. HOWEVER, MANY EXISTING CREVASSE MODELS EITHER DO NOT FULLY ACCOUNT FOR THE STRESS FIELD DRIVING THE HYDROFRACTURE PROCESS AND/OR TR;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
A NEAR 90-YEAR RECORD OF THE EVOLUTION OF EL MORADO GLACIER AND ITS PROGLACIAL LAKE, CENTRAL CHILEAN ANDES;USING AN ENSEMBLE OF CLOSE- AND LONG-RANGE REMOTE SENSING, LAKE BATHYMETRY AND REGIONAL METEOROLOGICAL DATA, WE PRESENT A DETAILED ASSESSMENT OF THE GEOMETRIC CHANGES OF EL MORADO GLACIER IN THE CENTRAL ANDES OF CHILE AND ITS ADJACENT PROGLACIAL LAKE BETWEEN 1932 AND 2019. OVERAL;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
LONGBASABA GLACIER RECESSION AND CONTRIBUTION TO ITS PROGLACIAL LAKE VOLUME BETWEEN 1988 AND 2018;DURING THE LAST FEW DECADES, THE LAKE-TERMINATING GLACIERS IN THE HIMALAYA HAVE RECEDED FASTER THAN THE LAND-TERMINATING GLACIERS AS PROGLACIAL LAKES HAVE EXACERBATED THE MASS LOSS OF THEIR HOST GLACIERS. MONITORING THE IMPACTS OF GLACIER RECESSION AND DYNAMICS ON LAKE EXTENT AND;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
SLOPE ESTIMATION INFLUENCES ON ICE THICKNESS INVERSION MODELS: A CASE STUDY FOR MONTE TRONADOR GLACIERS, NORTH PATAGONIAN ANDES;GLACIER ICE THICKNESS IS CRUCIAL TO QUANTIFYING WATER RESOURCES IN MOUNTAIN REGIONS, AND IS AN ESSENTIAL INPUT FOR ICE-FLOW MODELS. USING A SURFACE VELOCITY INVERSION METHOD, WE COMBINE ICE THICKNESS MEASUREMENTS WITH DETAILED SURFACE ELEVATION AND VELOCITY DATA, AND DERIVE ICE T;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
A CASTING METHOD USING CONTRAST-ENHANCED DIETHYLPHTHALATE FOR MICRO-COMPUTED TOMOGRAPHY OF SNOW;CASTING SNOW IS NECESSARY TO PREVENT METAMORPHISM AND DEFORMATION PRIOR TO X-RAY MICRO-COMPUTED TOMOGRAPHY (MU CT) IMAGING. CURRENT METHODS ARE INSUFFICIENT FOR LARGE-SCALE FIELD SAMPLING OF SNOW DUE TO SAFETY CONSIDERATIONS ASSOCIATED WITH THE CASTING MEDIUM AND/OR LENGTHY SAMPL;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
QUANTIFYING PARAMETER UNCERTAINTY IN A LARGE-SCALE GLACIER EVOLUTION MODEL USING BAYESIAN INFERENCE: APPLICATION TO HIGH MOUNTAIN ASIA;THE RESPONSE OF GLACIERS TO CLIMATE CHANGE HAS MAJOR IMPLICATIONS FOR SEA-LEVEL CHANGE AND WATER RESOURCES AROUND THE GLOBE. LARGE-SCALE GLACIER EVOLUTION MODELS ARE USED TO PROJECT GLACIER RUNOFF AND MASS LOSS, BUT ARE CONSTRAINED BY LIMITED OBSERVATIONS, WHICH RESULT IN MODELS ;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
EMPIRICAL ALPHA-BETA RUNOUT MODELLING OF SNOW AVALANCHES IN THE CATALAN PYRENEES;A VARIATION IN THE ALPHA-BETA MODEL WHICH IS A REGRESSION MODEL THAT ALLOWS A DETERMINISTIC PREDICTION OF THE EXTREME RUNOUT TO BE EXPECTED IN A GIVEN PATH, WAS APPLIED FOR CALCULATING AVALANCHE RUNOUT IN THE CATALAN PYRENEES. PRESENT KNOWLEDGE OF MAJOR AVALANCHE ACTIVITY IN THIS;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
THIN ICE, DEEP SNOW AND SURFACE FLOODING IN KOTZEBUE SOUND: LANDFAST ICE MASS BALANCE DURING TWO ANOMALOUSLY WARM WINTERS AND IMPLICATIONS FOR MARINE MAMMALS AND SUBSISTENCE HUNTING;THE INAUGURAL DATA FROM THE FIRST SYSTEMATIC PROGRAM OF SEA-ICE OBSERVATIONS IN KOTZEBUE SOUND, ALASKA, IN 2018 COINCIDED WITH THE FIRST WINTER IN LIVING MEMORY WHEN THE SOUND WAS NOT CHOKED WITH ICE. THE FOLLOWING WINTER OF 2018-19 WAS EVEN WARMER AND CHARACTERIZED BY EVEN LESS ;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
A CROSS-VALIDATED THREE-DIMENSIONAL MODEL OF AN ENGLACIAL AND SUBGLACIAL DRAINAGE SYSTEM IN A HIGH-ARCTIC GLACIER;RECENT SPELEOLOGICAL SURVEYS OF MELTWATER DRAINAGE SYSTEMS IN COLD AND POLYTHERMAL GLACIERS HAVE DOCUMENTED DYNAMIC ENGLACIAL AND IN SOME CASES SUBGLACIAL CONDUITS FORMED BY THE 'CUT-AND-CLOSURE' MECHANISM. INVESTIGATIONS OF THE SPATIAL DISTRIBUTION OF SUCH CONDUITS OFTEN REQUIRE;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
INVESTIGATION OF A COLD-BASED ICE APRON ON A HIGH-MOUNTAIN PERMAFROST ROCK WALL USING ICE TEXTURE ANALYSIS AND MICRO-C-14 DATING: A CASE STUDY OF THE TRIANGLE DU TACUL ICE APRON (MONT BLANC MASSIF, FRANCE);THE CURRENT PAPER STUDIES THE DYNAMICS AND AGE OF THE TRIANGLE DU TACUL (TDT) ICE APRON, A MASSIVE ICE VOLUME LYING ON A STEEP HIGH-MOUNTAIN ROCK WALL IN THE FRENCH SIDE OF THE MONT-BLANC MASSIF AT AN ALTITUDE CLOSE TO 3640 M A.S.L. THREE 60 CM LONG ICE CORES WERE DRILLED TO BEDR;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
BLACK CARBON AND MINERAL DUST ON TWO GLACIERS ON THE CENTRAL TIBETAN PLATEAU: SOURCES AND IMPLICATIONS;SOURCES AND IMPLICATIONS OF BLACK CARBON (BC) AND MINERAL DUST (MD) ON TWO GLACIERS ON THE CENTRAL TIBETAN PLATEAU WERE ESTIMATED BASED ON IN SITU MEASUREMENTS AND MODELING. THE RESULTS INDICATED THAT BC AND MD ACCOUNTED FOR 11 +/- 1% AND 4 +/- 0% OF THE ALBEDO REDUCTION RELATIVE;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
DYNAMIC SIMULATIONS OF VATNAJOKULL ICE CAP FROM 1980 TO 2300;LIKE MOST ICE CAPS AND GLACIERS WORLDWIDE, ICELANDIC GLACIERS ARE RETREATING IN A WARMING CLIMATE. HERE, THE EVOLUTION OF VATNAJOKULL ICE CAP, ICELAND, FROM 1980 TO 2300 IS SIMULATED BY FORCING THE PARALLEL ICE SHEET MODEL (PISM) WITH OUTPUT FROM REGIONAL CLIMATE MODELS (RCMS). F;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
ANTARCTIC ICE SHEET RESPONSE TO SUDDEN AND SUSTAINED ICE-SHELF COLLAPSE (ABUMIP);ANTARCTICA'S ICE SHELVES MODULATE THE GROUNDED ICE FLOW, AND WEAKENING OF ICE SHELVES DUE TO CLIMATE FORCING WILL DECREASE THEIR 'BUTTRESSING' EFFECT, CAUSING A RESPONSE IN THE GROUNDED ICE. WHILE THE PROCESSES GOVERNING ICE-SHELF WEAKENING ARE COMPLEX, UNCERTAINTIES IN THE RESPO;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
ANNUAL CYCLE IN FLOW OF ROSS ICE SHELF, ANTARCTICA: CONTRIBUTION OF VARIABLE BASAL MELTING;ICE SHELVES PLAY A CRITICAL ROLE IN MODULATING DYNAMIC LOSS OF ICE FROM THE GROUNDED PORTION OF THE ANTARCTIC ICE SHEET AND ITS CONTRIBUTION TO SEA-LEVEL RISE. MEASUREMENTS OF ICE-SHELF MOTION PROVIDE INSIGHTS INTO PROCESSES MODIFYING BUTTRESSING. HERE WE INVESTIGATE THE EFFECT O;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
SILICEOUS SUBGLACIAL DEPOSITS: ARCHIVES OF SUBGLACIAL PROCESSES DURING THE LAST GLACIAL MAXIMUM;WE REPORT DETAILED CHEMICAL AND ISOTOPIC DATA FROM A SUBGLACIAL SILICEOUS DEPOSIT ON ANDESITIC BEDROCK RECENTLY EXPOSED BY GLACIER RETREAT. WHEREAS A SINGLE, <1 MU M, SI-RICH LAYER COVERS THE HIGHLY POLISHED BEDROCK ON THE UP-GLACIER (STOSS) SURFACES, DISTINCT, LITHIFIED DEPOSITS;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
ICE THICKNESS AND VOLUME OF THE RENLAND ICE CAP, EAST GREENLAND;TO ASSESS THE AMOUNT OF ICE VOLUME STORED IN GLACIERS OR ICE CAPS, A METHOD TO ESTIMATE ICE THICKNESS DISTRIBUTION IS REQUIRED FOR GLACIERS WHERE NO DIRECT OBSERVATIONS ARE AVAILABLE. IN THIS STUDY, WE USE AN EXISTING INVERSE METHOD TO ESTIMATE THE BEDROCK TOPOGRAPHY AND ICE THIC;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
CRYOEGG: DEVELOPMENT AND FIELD TRIALS OF A WIRELESS SUBGLACIAL PROBE FOR DEEP, FAST-MOVING ICE;SUBGLACIAL HYDROLOGICAL SYSTEMS REQUIRE INNOVATIVE TECHNOLOGICAL SOLUTIONS TO ACCESS AND OBSERVE. WIRELESS SENSOR PLATFORMS CAN BE USED TO COLLECT AND RETURN DATA, BUT THEIR PERFORMANCE IN DEEP AND FAST-MOVING ICE REQUIRES QUANTIFICATION. WE REPORT EXPERIMENTAL RESULTS FROM CRYOE;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
CHRONOLOGICAL CHARACTERISTICS FOR SNOW ACCUMULATION ON STYX GLACIER IN NORTHERN VICTORIA LAND, ANTARCTICA;"UNDER THE POTENTIAL TO RECONSTRUCT THE PAST CLIMATIC AND ATMOSPHERIC CONDITIONS FROM A DEEP ICE CORE IN THE COASTAL ANTARCTIC SITE (STYX GLACIER), AN 8.84 M LONG FIRN CORE (73 DEGREES 50.975 ' S, 163 DEGREES 41.640 ' E; 1623 M A.S.L.) WAS INITIALLY STUDIED TO PROPOSE A RELIABLE A";JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
DRAINAGE SYSTEM AND THERMAL STRUCTURE OF A HIGH ARCTIC POLYTHERMAL GLACIER: WALDEMARBREEN, WESTERN SVALBARD;UNDERSTANDING GLACIER DRAINAGE SYSTEM BEHAVIOUR AND ITS RESPONSE TO INCREASED MELTWATER PRODUCTION FACES SEVERAL CHALLENGES IN THE HIGH ARCTIC BECAUSE MANY GLACIERS ARE TRANSITIONING FROM POLYTHERMAL TO ALMOST ENTIRELY COLD THERMAL STRUCTURES. WE, THEREFORE, USED GROUND-PENETRATI;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
PHYSICAL LIMITS TO MELTWATER PENETRATION IN FIRN;PROCESSES GOVERNING MELTWATER PENETRATION INTO COLD FIRN REMAIN POORLY CONSTRAINED. HERE, IN SITU EXPERIMENTS ARE USED TO DEVELOP A GRAIN-SCALE MODEL TO INVESTIGATE PHYSICAL LIMITATIONS ON MELTWATER INFILTRATION IN FIRN. AT TWO SITES IN GREENLAND, DRILLING PUMPED WATER INTO COLD ;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
THE INFLUENCE OF ENVIRONMENTAL MICROSEISMICITY ON DETECTION AND INTERPRETATION OF SMALL-MAGNITUDE EVENTS IN A POLAR GLACIER SETTING;GLACIAL ENVIRONMENTS EXHIBIT TEMPORALLY VARIABLE MICROSEISMICITY. TO INVESTIGATE HOW MICROSEISMICITY INFLUENCES EVENT DETECTION, WE IMPLEMENT TWO NOISE-ADAPTIVE DIGITAL POWER DETECTORS TO PROCESS SEISMIC DATA FROM TAYLOR GLACIER, ANTARCTICA. WE ADD SCALED ICEQUAKE WAVEFORMS TO TH;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
FUTURE GLACIAL LAKES IN HIGH MOUNTAIN ASIA: AN INVENTORY AND ASSESSMENT OF HAZARD POTENTIAL FROM SURROUNDING SLOPES;BEDROCK OVERDEEPENINGS EXPOSED BY CONTINUED GLACIAL RETREAT CAN STORE PRECIPITATION AND MELTWATER, POTENTIALLY LEADING TO THE FORMATION OF NEW PROGLACIAL LAKES. THESE LAKES MAY POSE THREATS OF GLACIAL LAKE OUTBURST FLOODS (GLOFS) IN HIGH MOUNTAIN AREAS, PARTICULARLY IF NEW LAKES ;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
DETERMINING THE EVOLUTION OF AN ALPINE GLACIER DRAINAGE SYSTEM BY SOLVING INVERSE PROBLEMS;OUR UNDERSTANDING OF THE SUBGLACIAL DRAINAGE SYSTEM HAS IMPROVED MARKEDLY OVER THE LAST DECADES DUE TO FIELD OBSERVATIONS AND NUMERICAL MODELLING. HOWEVER, INTEGRATING DATA INTO INCREASINGLY COMPLEX NUMERICAL MODELS REMAIN CHALLENGING. HERE WE INFER TWO-DIMENSIONAL SUBGLACIAL CHA;JOURNAL OF GLACIOLOGY;Geosciences;Glaciology
